Parameter,PY (Previous Year) Data
Total electricity consumption from renewable sources (A),
Total fuel consumption from renewable sources (B),
Energy consumption through other sources from renewable sources (C),
Total electricity consumption from non-renewable sources (D),
Total fuel consumption from non-renewable sources (E),
Energy consumption through other sources from non-renewable sources (F),
Revenue from operations,
Physical output (Production),
